報告日期,標題,公司,代號,買進日期,買進價格,賣出日期,賣出價格,報酬率(%),狀態
2026-03-23,🔥【強力買進】產品具備高進入門檻，獲利將跟隨產業趨勢爆發成長！,萊德光電,7717,,,,,,尚未達買進日
2026-03-19,【買進】資本支出衝上天價，為同業成長之冠！,力成,6239,2026-03-20,208.5,2026-03-23,192.0,-7.91,未滿60天(持倉中)
2026-03-16,【買進】通訊產品在光通訊帶動下，今年預估呈現高雙位數成長！,文曄,3036,2026-03-17,237.0,2026-03-23,241.0,1.69,未滿60天(持倉中)
2026-03-09,【買進】日韓大廠強勁需求，出貨動能延續至2026年！,,4768,2026-03-10,420.0,2026-03-23,444.0,5.71,未滿60天(持倉中)
2026-03-06,【買進】台灣市場汰弱留強策略有成，今年將延續成長動能！,八方雲集,2753,2026-03-09,181.0,2026-03-23,179.5,-0.83,未滿60天(持倉中)
2026-03-02,【買進】基礎建設產品別優化，走往高毛利資料中心&低軌衛星！,穩懋,3105,2026-03-03,341.0,2026-03-23,315.0,-7.62,未滿60天(持倉中)
2026-02-26,【買進】高毛利自製設備占比持續提升，在手訂單滿載！,揚博,2493,2026-03-02,117.5,2026-03-23,109.5,-6.81,未滿60天(持倉中)
2026-02-23,【買進】轉往發展電子化學材料，毛利率大幅超過整體平均！,國精化,4722,2026-02-24,178.0,2026-03-23,167.5,-5.9,未滿60天(持倉中)
2026-02-09,【買進】高階應用進程，上半年小量試產，下半年開始逐步放量！,台達電,2308,2026-02-10,1205.0,2026-03-23,1410.0,17.01,未滿60天(持倉中)
2026-02-05,🔥【強力買進】AI、記憶體、訂單外溢等多重動能，本業進入⾼速成⻑期！,超豐,2441,2026-02-06,85.9,2026-03-23,90.8,5.7,未滿60天(持倉中)
2026-02-02,【買進】金融業專案 x 半導體大客戶 x 海外拓展，獲利再締新猷！,,7767,2026-02-03,47.0,2026-03-23,44.25,-5.85,未滿60天(持倉中)
2026-01-30,【買進】產品往等級高精度整合邁進，技術門檻與結構更為複雜！,,2382,2026-02-02,279.5,2026-03-23,280.0,0.18,未滿60天(持倉中)
2026-01-26,【買進】2026 全年營收年增近 30%，獲利重返榮耀！,日電貿,3090,2026-01-27,100.5,2026-03-23,93.0,-7.46,未滿60天(持倉中)
2026-01-23,【買進】攜手知名龍頭廠商搶攻CPO，轉型AI關鍵廠商 !,大立光,3008,2026-01-26,2407.57,2026-03-23,2235.0,-7.17,未滿60天(持倉中)
2026-01-19,🔥【強力買進】台灣唯一代理正規團，漲價效益將逐步顯現在營收上 !,至上,8112,2026-01-20,78.2,2026-03-23,81.8,4.6,已結算
2026-01-12,【買進】結盟海外攻高階材，將迎黃金成長期 !,南亞,1303,2026-01-13,65.0,2026-03-16,89.2,37.23,已結算
2026-01-09,【買進】產業趨勢帶動，2026開始本業進入高速成長期！,東捷,8064,2026-01-12,50.2,2026-03-13,56.2,11.95,已結算
2026-01-05,【買進】最壞情況已過，2026開始本業進入高速成長期！,燿華,2367,2026-01-06,27.5,2026-03-09,62.1,125.82,已結算
2026-01-02,【買進】營收結構大換血，自有品牌推升毛利率至歷史高峰！,,6761,2026-01-05,142.0,2026-03-06,168.5,18.66,已結算
2025-12-30,【買進】電力傳輸的隱形冠軍，毛利率站上4字頭的結構性質變！,瀚荃,8103,2025-12-31,85.4,2026-03-02,100.5,17.68,已結算
2025-12-27,【買進】價格暴漲 15倍只是訊號，模組成戰略物資，迎來倍數級獲利爆發！,十銓,4967,2025-12-29,160.0,2026-03-02,204.5,27.81,已結算
2025-12-23,🔥【強力買進】華麗轉身，DDR4在手訂單上看7500萬美元！,駿吉-KY,1591,2025-12-24,49.65,2026-02-23,50.4,1.51,已結算
2025-12-18,【買進】AI 伺服器線材將帶來新成長曲線,,3550,2025-12-19,13.65,2026-02-23,18.95,38.83,已結算
2025-12-16,🔥【強力買進】什麼東西漲幅竟然1500% ?!,凌航,3135,2025-12-17,62.9,2026-02-23,113.5,80.45,已結算
2025-12-09,【買進】AI及新能源，產品組合大升級，3Q25毛利率已衝上歷史新高！,,5243,2025-12-10,83.0,2026-02-09,85.6,3.13,已結算
2025-12-05,🔥【強力買進】營收獲利全面上修，預期進入爆發期！,今國光,6209,2025-12-08,57.9,2026-02-06,60.2,3.97,已結算
2025-12-01,"🔥【強力買進】手握近年最大工程統包案，光未施工訂單就突破2,000億元！",,6139,2025-12-02,442.0,2026-02-02,555.0,25.57,已結算
2025-11-27,🔥【強力買進】需求爆發，切入 GB300核心供應鏈，推升2026年獲利！,,3324,2025-11-28,908.0,2026-01-27,926.0,1.98,已結算
2025-11-18,【買進】因AI伺服器滲透率提升帶動需求，將達到以往的數十倍！,國E,2327,2025-11-19,233.0,2026-01-19,295.5,26.82,已結算
2025-11-07,【買進】即將進入傳統旺季，新車價格創新高，帶動拉貨動能！,東陽,1319,2025-11-10,100.5,2026-01-09,94.7,-5.77,已結算
2025-11-04,【買進】高毛利產品占比從提升至目前的5成以上，今年由虧轉盈，明年EPS翻倍成長！,今國光,6209,2025-11-05,43.85,2026-01-05,65.3,48.92,已結算
2025-10-31,【買進】AI、記憶體需求強勁+產品報價調漲，2026年動能將明顯優於今年！,景碩,3189,2025-11-03,137.5,2026-01-02,156.0,13.45,已結算
2025-10-28,🔥【強力買進】受惠AI 伺服器需求大增，營收跟獲利全面上修，潛在漲幅預估仍有34%！,凌航,3135,2025-10-29,47.46,2025-12-29,77.1,62.45,已結算
2025-10-23,【買進】在AI伺服器強勁動能帶動下，預期4Q25將再創新高！,JPP-KY,5284,2025-10-27,273.0,2025-12-26,287.0,5.13,已結算
2025-10-20,【買進】聯手打造AI產線，貢獻逐月放量，營收會續創新高！,鴻海,2317,2025-10-21,241.5,2025-12-22,224.0,-7.25,已結算
2025-10-17,【買進】中國生產轉單成最大成長動能，預估明年EPS成長6成以上,泰金-KY,6629,2025-10-20,121.02,2025-12-19,127.91,5.69,已結算
2025-10-07,【買進】高成長低評價，伺服器占比有望達75%，合約負債季增1倍創高,技嘉,2376,2025-10-08,308.0,2025-12-08,246.0,-20.13,已結算
2025-10-01,🔥【強力買進】即將出貨給台積電，獲利營收將呈現倍數跳增！,晶彩科,3535,2025-10-02,83.2,2025-12-01,91.6,10.1,已結算
2025-09-25,🔥【強力買進】美國市場將迎來史詩級訂單，營收預估將迎來大爆發！,東元,1504,2025-09-26,98.6,2025-11-25,88.5,-10.24,已結算
2025-09-22,【買進】應用先進封裝等高成長產業，毛利歷史新高，3-5年內將無明顯競爭對手,群翊,6664,2025-09-23,263.5,2025-11-24,245.0,-7.02,已結算
2025-09-19,【買進】新廠擴產帶動需求，材料營收成長近2成，預估2026年營收挑戰連三年創新高！,,5434,2025-09-22,298.0,2025-11-21,287.5,-3.52,已結算
2025-09-16,【買進】切入美系CSP客戶，預計4Q25還會有新客戶加入！,優群,3217,2025-09-17,182.5,2025-11-17,165.0,-9.59,已結算
2025-09-08,【買進】台積電合作夥伴，關鍵製程節點都有切入，A I資本支出浪潮推升供應鏈升級,志聖,2467,2025-09-09,204.0,2025-11-10,175.5,-13.97,已結算
2025-09-05,【買進】主機板一路升級！2026新規格上線，潛在 AI上修機會，獲利有望創下新高,嘉澤,3533,2025-09-08,1500.0,2025-11-07,1345.0,-10.33,已結算
2025-09-02,【買進】預估2026-2028年營收CARG高達4成以上，獲利進入高速成長期！,系統電,5309,2025-09-03,54.6,2025-11-03,63.4,16.12,已結算
2025-08-22,🔥【強力買進】智慧聯網商機爆發，訂單規模暴增，預估營收YOY將成長350%,達運光電,8045,2025-08-25,131.0,2025-10-27,84.2,-35.73,已結算
2025-08-15,🔥【強力買進】受惠台積電廠房建置，半導體應用佔九成，台美中建廠潮將帶動營運拉升,,4770,2025-08-18,277.5,2025-10-17,256.0,-7.75,已結算
2025-08-08,【買進】新市場預計2026年底出貨放量，打破壟斷，迎接高速成長,新應材,4749,2025-08-11,656.0,2025-10-13,889.0,35.52,已結算
2025-08-05,【買進】聚焦「半導體」電子級化學品，高純產線Q4量產，獲利三級跳,中華化,1727,2025-08-06,33.35,2025-10-07,40.2,20.54,已結算
2025-08-01,【買進】AI伺服器背後嚴格的安全與性能服務，全球紛紛搶建AI資料中心，抓住商機營運起飛,東研信超,6840,2025-08-04,51.3,2025-10-03,63.1,23.0,已結算
2025-07-29,【買進】具備實質獲利的熱門題材概念股，市場預估需求每年成長89%，準備再開新廠拚產能！,華星光,4979,2025-07-30,193.5,2025-09-30,216.0,11.63,已結算
2025-07-25,【買進】打入GOOGLE、AI眼鏡供應鏈，微電子業務受惠中系去美化與Wi-Fi升級雙利多,全新,2455,2025-07-28,150.0,2025-09-26,154.0,2.67,已結算
2025-07-18,🔥【強力買進】爆炸性成長220%的商機，就藏在這些「高速成長」的線材裡！,萬泰科,6190,2025-07-21,37.6,2025-09-19,41.1,9.31,已結算
